Titolo,Codice,Tipo,Volume,"Autore 1","Autore 2","Autore 3",Anno di pubblicazione,Luogo,Editore,Tags,Fondo,pdf
Puritanesimo e libertà,01.1.GABPUR,Libro edito,,"Gabrieli, Vittorio",,,1956,Torino,Einaudi,Politica,Venturati
Socialismo e nazionalizzazione,01.1.GAISOC,Libro edito,,"Gaitskell, Hugh",,,1959,Roma,Opere Nuove,"Politica,Socialismo,Amministrazione",Venturati
Benedetto Bettino,01.1.GALBEN,Libro edito,,"Galli, Gancarlo",,,1982,Milano,Bompiani,"Politica,Socialismo",Venturati
Caravan,01.1.GALCAR,Libro edito,,"Galsworthy, John",,,SD,Milano,Club degli Editori,Narrativa,Venturati
Dal bipartitismo imperfetto alla possibile alternativa,01.1.GALDAL,Libro edito,,"Galli, Giorgio",,,1975,Bologna,Il Mulino,Politica,Venturati
Il nuovo stato industriale,01.1.GALNUO,Libro edito,,"Galbraith, John K.",,,1968,Torino,Einaudi,Economia,Venturati
Opinioni sul PCI,01.1.GALOPI,Libro edito,,"Galli, Giorgio",,,1977,Roma,L'Espresso,"Politica,Comunismo",Venturati
Cittadini Sì e No,01.1.GARCIT,Libro edito,,"Garofalo, Anna",,,1956,Torino,De Silva,Inchiesta,Venturati
Cooperazione nel Mediterraneo occidentale,01.1.GASCOO,Libro edito,,"Gasteyger, Curt",Alia,,1972,Bologna,Il Mulino,"Politica,Esteri",Venturati
Una lettera al Re,01.1.GAVLET,Libro edito,,"Gavagnin, Armando",,,1960,Milano,Edizioni Avanti!,Biografico,Venturati
Galileo Galilei,01.1.GEYGAL,Libro edito,,"Geymonat, Ludovico",,,1957,Torino,Einaudi,Biografico,Venturati
L’effetto Craxi,01.1.GHILEF,Libro edito,,"Ghirelli, Antonio",,,1982,Milano,Rizzoli,"Politica,Socialismo",Venturati
Conversazione con Stalin,01.1.GILCON,Libro edito,,"Gilas, Milovan",,,1962,Milano,Feltrinelli,"Politica,Comunismo",Venturati
Il lavoro umano,01.1.GIOLAV,Libro edito,,Giovanni Paolo II,,,1981,Roma,Logos,Politica,Venturati
Cronache sociali 1947-1951,01.1.GLICRO.1,Libro edito,1,"Glisenti, Marcella","Elia, Leopoldo",,1961,Landi,,"Politica,Storia",Venturati
Cronache sociali 1947-1951,01.1.GLICRO.2,Libro edito,2,"Glisenti, Marcella","Elia, Leopoldo",,1961,Landi,,"Politica,Storia",Venturati
La politica esterna italiana nel dopoguerra,01.1.GRAPOL,Libro edito,,"Graziano, Luigi",,,1968,Padova,Marsilio,"Politica,Esteri",Venturati
Patrizio Peci. Io infame,01.1.GUEPAT,Libro edito,,"Guerri, Giordano Bruno",,,1983,Milano,Mondadori,"Biografico,Comunismo,Terrorismo",Venturati
Dialettica senza dogma,01.1.HAVDIA,Libro edito,,"Havemann, Robert",,,1965,Torino,Einaudi,Filosofia,Venturati
Albert Einstein,01.1.INFALB,Libro edito,,"Infeld, Leopold",,,1963,Torino,Einaudi,Biografico,Venturati
Canta il gallo,01.1.JACCAN,Libro edito,,"Jacopini, Renato",,,1960,Milano-Roma,Edizioni Avanti!,Biografico,Venturati
Mia madre,01.1.JACMIA,Libro edito,,"Jacometti, Alberto",,,1960,MIlano,Edizioni Avanti!,Biografico,Venturati
Chiesa e Stato in Italia negli ultimi cento anni,01.1.JEMCHI,Libro edito,,"Jemolo, Arturo Carlo",,,1956,Torino,Einaudi,"Storia,Chiesa",Venturati
I partiti politici,01.1.JOCPAR,Libro edito,,"Jocteau, Gian Carlo",,,1974,Torino,UTET,Storia,Venturati
"La Russia, l'atomo e l'Occidente",01.1.KENRUS,Libro edito,,"Kennan, George F.",,,1958,Torino,Einaudi,"Politica,Esteri",Venturati
Vogliamo un mondo più nuovo,01.1.KENVOG,Libro edito,,"Kennedy, R. J.",,,1968,,Garzanti,"Politica,Esteri",Venturati
L'opposizione operaia in Russia,01.1.KOLLOP,Libro edito,,"Kollontai, Alessandra",,,1962,Milano,Azione Comune,"Politica,Operaismo,Comunismo",Venturati
Ricchezza e potere in America,01.1.KOLRIC,Libro edito,,"Kolko, Gabriel",,,1964,Torino,Einaudi,"Economia,Esteri",Venturati
